number	latency	duration	channel	bvtime	bvmknum	type	code	urevent	epoch
69.000000	137001.000000	1.000000	0.000000		79.000000	S  2	Stimulus	79.000000	35.000000
70.000000	137507.000000	1.000000	0.000000		80.000000	S  6	Stimulus	80.000000	35.000000
71.000000	141001.000000	1.000000	0.000000		81.000000	S  1	Stimulus	81.000000	36.000000
72.000000	141674.000000	1.000000	0.000000		82.000000	S  6	Stimulus	82.000000	36.000000
73.000000	145001.000000	1.000000	0.000000		90.000000	S  1	Stimulus	90.000000	37.000000
74.000000	145654.000000	1.000000	0.000000		91.000000	S  6	Stimulus	91.000000	37.000000
75.000000	149001.000000	1.000000	0.000000		92.000000	S  1	Stimulus	92.000000	38.000000
76.000000	149567.000000	1.000000	0.000000		93.000000	S  6	Stimulus	93.000000	38.000000
77.000000	153001.000000	1.000000	0.000000		100.000000	S  1	Stimulus	100.000000	39.000000
78.000000	153698.000000	1.000000	0.000000		101.000000	S  4	Stimulus	101.000000	39.000000
79.000000	157001.000000	1.000000	0.000000		106.000000	S  1	Stimulus	106.000000	40.000000
80.000000	157725.000000	1.000000	0.000000		107.000000	S  6	Stimulus	107.000000	40.000000
81.000000	161001.000000	1.000000	0.000000		110.000000	S  2	Stimulus	110.000000	41.000000
82.000000	161724.000000	1.000000	0.000000		111.000000	S  6	Stimulus	111.000000	41.000000
83.000000	165001.000000	1.000000	0.000000		115.000000	S  2	Stimulus	115.000000	42.000000
84.000000	165689.000000	1.000000	0.000000		116.000000	S  6	Stimulus	116.000000	42.000000
85.000000	169001.000000	1.000000	0.000000		117.000000	S  2	Stimulus	117.000000	43.000000
86.000000	169621.000000	1.000000	0.000000		118.000000	S  6	Stimulus	118.000000	43.000000
87.000000	173001.000000	1.000000	0.000000		119.000000	S  1	Stimulus	119.000000	44.000000
88.000000	173666.000000	1.000000	0.000000		120.000000	S  6	Stimulus	120.000000	44.000000
89.000000	177001.000000	1.000000	0.000000		121.000000	S  2	Stimulus	121.000000	45.000000
90.000000	177675.000000	1.000000	0.000000		122.000000	S  6	Stimulus	122.000000	45.000000
91.000000	181001.000000	1.000000	0.000000		123.000000	S  1	Stimulus	123.000000	46.000000
92.000000	181539.000000	1.000000	0.000000		124.000000	S  6	Stimulus	124.000000	46.000000
93.000000	185001.000000	1.000000	0.000000		125.000000	S  1	Stimulus	125.000000	47.000000
